#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 6.10000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  4.70208E+06   1.57651E-09   6.032E-11   4.27655E-12   1.711E-12   1.57223E-09   6.030E-11   0.00000E+00   0.000E+00 
  4.75292E+06   1.52878E-09   5.953E-11   3.25018E-12   1.491E-12   1.52536E-09   5.951E-11   1.71062E-13   3.421E-13 
  4.80375E+06   1.40373E-09   5.675E-11   2.73699E-12   1.368E-12   1.40100E-09   5.674E-11   0.00000E+00   0.000E+00 
  4.85458E+06   1.40288E-09   5.693E-11   3.25018E-12   1.491E-12   1.39963E-09   5.691E-11   0.00000E+00   0.000E+00 
  4.90542E+06   1.27835E-09   5.400E-11   2.73699E-12   1.368E-12   1.27561E-09   5.398E-11   0.00000E+00   0.000E+00 
  4.95625E+06   1.27749E-09   5.441E-11   2.39487E-12   1.280E-12   1.27510E-09   5.439E-11   0.00000E+00   0.000E+00 
  5.00708E+06   1.21078E-09   5.299E-11   1.36850E-12   9.677E-13   1.20941E-09   5.298E-11   0.00000E+00   0.000E+00 
  5.05792E+06   1.15125E-09   5.141E-11   1.19743E-12   9.052E-13   1.15005E-09   5.140E-11   0.00000E+00   0.000E+00 
  5.10875E+06   1.06110E-09   4.974E-11   1.53956E-12   1.026E-12   1.05956E-09   4.972E-11   0.00000E+00   0.000E+00 
  5.15958E+06   1.06948E-09   5.090E-11   1.36850E-12   9.677E-13   1.06811E-09   5.089E-11   0.00000E+00   0.000E+00 
  5.21042E+06   1.00225E-09   4.864E-11   5.13186E-13   5.926E-13   1.00174E-09   4.864E-11   0.00000E+00   0.000E+00 
  5.26125E+06   9.51960E-10   4.731E-11   1.71062E-13   3.421E-13   9.51789E-10   4.731E-11   0.00000E+00   0.000E+00 
  5.31208E+06   8.66942E-10   4.511E-11   1.19743E-12   9.052E-13   8.65745E-10   4.510E-11   0.00000E+00   0.000E+00 
  5.36292E+06   8.46415E-10   4.504E-11   6.84248E-13   6.842E-13   8.45731E-10   4.504E-11   0.00000E+00   0.000E+00 
  5.41375E+06   7.85346E-10   4.328E-11   1.71062E-13   3.421E-13   7.85175E-10   4.328E-11   0.00000E+00   0.000E+00 
  5.46458E+06   7.09565E-10   4.118E-11   0.00000E+00   0.000E+00   7.09565E-10   4.118E-11   0.00000E+00   0.000E+00 
  5.51542E+06   6.43535E-10   3.926E-11   3.42124E-13   4.838E-13   6.43193E-10   3.926E-11   0.00000E+00   0.000E+00 
  5.56625E+06   6.42338E-10   3.946E-11   0.00000E+00   0.000E+00   6.42338E-10   3.946E-11   0.00000E+00   0.000E+00 
  5.61708E+06   5.79558E-10   3.770E-11   1.71062E-13   3.421E-13   5.79387E-10   3.770E-11   0.00000E+00   0.000E+00 
  5.66792E+06   5.00870E-10   3.498E-11   0.00000E+00   0.000E+00   5.00870E-10   3.498E-11   0.00000E+00   0.000E+00 
  5.71875E+06   4.67855E-10   3.412E-11   0.00000E+00   0.000E+00   4.67855E-10   3.412E-11   0.00000E+00   0.000E+00 
  5.76958E+06   3.95666E-10   3.138E-11   1.71062E-13   3.421E-13   3.95495E-10   3.138E-11   0.00000E+00   0.000E+00 
  5.82042E+06   3.07056E-10   2.759E-11   1.71062E-13   3.421E-13   3.06885E-10   2.758E-11   0.00000E+00   0.000E+00 
  5.87125E+06   2.55909E-10   2.547E-11   0.00000E+00   0.000E+00   2.55909E-10   2.547E-11   0.00000E+00   0.000E+00 
  5.92208E+06   1.76707E-10   2.143E-11   0.00000E+00   0.000E+00   1.76707E-10   2.143E-11   0.00000E+00   0.000E+00 
  5.97292E+06   7.74911E-11   1.437E-11   0.00000E+00   0.000E+00   7.74911E-11   1.437E-11   0.00000E+00   0.000E+00 
  6.02375E+06   5.13186E-13   1.026E-12   0.00000E+00   0.000E+00   5.13186E-13   1.026E-12   0.00000E+00   0.000E+00 
  6.07458E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
