#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   3.00000E+01  2.10000E+02  2.36804E-03  5.577E-05  7.37704E-02  3.111E-04  0.00000E+00  0.000E+00
   3.00000E+01  2.30000E+02  2.37297E-03  5.583E-05  7.37048E-02  3.110E-04  0.00000E+00  0.000E+00
   3.00000E+01  2.50000E+02  2.40055E-03  5.615E-05  7.37836E-02  3.112E-04  0.00000E+00  0.000E+00
   3.00000E+01  2.70000E+02  2.35721E-03  5.564E-05  7.39698E-02  3.116E-04  0.00000E+00  0.000E+00
   3.00000E+01  2.90000E+02  2.39037E-03  5.603E-05  7.35639E-02  3.107E-04  0.00000E+00  0.000E+00
   3.00000E+01  3.10000E+02  2.36738E-03  5.576E-05  7.36614E-02  3.109E-04  0.00000E+00  0.000E+00
   3.00000E+01  3.30000E+02  2.31780E-03  5.517E-05  7.37475E-02  3.111E-04  3.28347E-07  6.567E-07
   3.00000E+01  3.50000E+02  2.34998E-03  5.555E-05  7.37268E-02  3.110E-04  0.00000E+00  0.000E+00

   3.40000E+01  1.00000E+01  2.03576E-03  4.889E-05  6.54560E-02  2.771E-04  0.00000E+00  0.000E+00
   3.40000E+01  3.00000E+01  2.02695E-03  4.879E-05  6.55913E-02  2.774E-04  0.00000E+00  0.000E+00
   3.40000E+01  5.00000E+01  2.02724E-03  4.879E-05  6.53705E-02  2.770E-04  8.80771E-07  1.017E-06
   3.40000E+01  7.00000E+01  2.03634E-03  4.891E-05  6.52839E-02  2.768E-04  0.00000E+00  0.000E+00
   3.40000E+01  9.00000E+01  2.01638E-03  4.866E-05  6.54237E-02  2.771E-04  0.00000E+00  0.000E+00
   3.40000E+01  1.10000E+02  1.98320E-03  4.826E-05  6.54636E-02  2.771E-04  0.00000E+00  0.000E+00
   3.40000E+01  1.30000E+02  2.01021E-03  4.859E-05  6.52769E-02  2.768E-04  0.00000E+00  0.000E+00
   3.40000E+01  1.50000E+02  1.99964E-03  4.847E-05  6.53268E-02  2.769E-04  0.00000E+00  0.000E+00
   3.40000E+01  1.70000E+02  2.02607E-03  4.878E-05  6.54510E-02  2.771E-04  0.00000E+00  0.000E+00
   3.40000E+01  1.90000E+02  1.98350E-03  4.826E-05  6.52258E-02  2.767E-04  0.00000E+00  0.000E+00
   3.40000E+01  2.10000E+02  2.04809E-03  4.904E-05  6.52220E-02  2.766E-04  2.93590E-07  5.872E-07
   3.40000E+01  2.30000E+02  2.00552E-03  4.853E-05  6.50050E-02  2.762E-04  2.93590E-07  5.872E-07
   3.40000E+01  2.50000E+02  2.01080E-03  4.859E-05  6.54994E-02  2.772E-04  0.00000E+00  0.000E+00
   3.40000E+01  2.70000E+02  2.01139E-03  4.861E-05  6.51304E-02  2.764E-04  0.00000E+00  0.000E+00
   3.40000E+01  2.90000E+02  2.05044E-03  4.907E-05  6.52135E-02  2.766E-04  0.00000E+00  0.000E+00
   3.40000E+01  3.10000E+02  2.01344E-03  4.863E-05  6.54748E-02  2.772E-04  0.00000E+00  0.000E+00
   3.40000E+01  3.30000E+02  1.93799E-03  4.771E-05  6.53708E-02  2.770E-04  0.00000E+00  0.000E+00
   3.40000E+01  3.50000E+02  2.01843E-03  4.869E-05  6.52108E-02  2.766E-04  0.00000E+00  0.000E+00

   3.80000E+01  1.00000E+01  1.70344E-03  4.263E-05  5.75412E-02  2.476E-04  0.00000E+00  0.000E+00
   3.80000E+01  3.00000E+01  1.70264E-03  4.262E-05  5.74177E-02  2.474E-04  0.00000E+00  0.000E+00
   3.80000E+01  5.00000E+01  1.73997E-03  4.308E-05  5.78246E-02  2.483E-04  0.00000E+00  0.000E+00
   3.80000E+01  7.00000E+01  1.70504E-03  4.265E-05  5.77108E-02  2.480E-04  0.00000E+00  0.000E+00
   3.80000E+01  9.00000E+01  1.71997E-03  4.283E-05  5.76028E-02  2.478E-04  0.00000E+00  0.000E+00
   3.80000E+01  1.10000E+02  1.70450E-03  4.264E-05  5.79182E-02  2.484E-04  0.00000E+00  0.000E+00
   3.80000E+01  1.30000E+02  1.68344E-03  4.237E-05  5.74430E-02  2.474E-04  0.00000E+00  0.000E+00
   3.80000E+01  1.50000E+02  1.70264E-03  4.262E-05  5.76209E-02  2.478E-04  0.00000E+00  0.000E+00
   3.80000E+01  1.70000E+02  1.66531E-03  4.215E-05  5.78153E-02  2.482E-04  0.00000E+00  0.000E+00
   3.80000E+01  1.90000E+02  1.70290E-03  4.262E-05  5.77513E-02  2.481E-04  0.00000E+00  0.000E+00
   3.80000E+01  2.10000E+02  1.70130E-03  4.260E-05  5.77814E-02  2.482E-04  0.00000E+00  0.000E+00
   3.80000E+01  2.30000E+02  1.67544E-03  4.227E-05  5.76174E-02  2.478E-04  0.00000E+00  0.000E+00
