#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        1.00000e+05 3.50000e+07    100
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.81945E+07   8.49140E-10   1.273E-11   5.23400E-10   9.998E-12   3.05253E-10   7.636E-12   2.04871E-11   1.978E-12 
  2.85435E+07   7.86199E-10   1.225E-11   4.76886E-10   9.544E-12   3.01051E-10   7.584E-12   8.26170E-12   1.256E-12 
  2.88925E+07   6.97135E-10   1.154E-11   3.93505E-10   8.669E-12   3.02436E-10   7.600E-12   1.19389E-12   4.776E-13 
  2.92415E+07   6.09169E-10   1.079E-11   3.03200E-10   7.610E-12   3.05969E-10   7.645E-12   0.00000E+00   0.000E+00 
  2.95905E+07   4.39446E-10   9.161E-12   1.33715E-10   5.054E-12   3.05731E-10   7.642E-12   0.00000E+00   0.000E+00 
  2.99395E+07   1.06277E-06   3.574E-10   0.00000E+00   0.000E+00   1.06277E-06   3.574E-10   0.00000E+00   0.000E+00 
  3.02885E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.06375E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.09865E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.13355E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.16845E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.20335E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.23825E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.27315E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.30805E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.34295E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.37785E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.41275E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.44765E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.48255E+07   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
