#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.20000E+01  7.00000E+01  4.57448E-02  5.781E-04  2.89145E-01  1.460E-03  1.76325E-02  3.588E-04
   2.20000E+01  9.00000E+01  4.57010E-02  5.779E-04  2.88499E-01  1.458E-03  1.77622E-02  3.602E-04
   2.20000E+01  1.10000E+02  4.58635E-02  5.789E-04  2.88073E-01  1.457E-03  1.77676E-02  3.602E-04
   2.20000E+01  1.30000E+02  4.53960E-02  5.760E-04  2.87704E-01  1.456E-03  1.75741E-02  3.583E-04
   2.20000E+01  1.50000E+02  4.51313E-02  5.742E-04  2.86636E-01  1.454E-03  1.80269E-02  3.628E-04
   2.20000E+01  1.70000E+02  4.57046E-02  5.778E-04  2.88752E-01  1.459E-03  1.79922E-02  3.625E-04
   2.20000E+01  1.90000E+02  4.55421E-02  5.768E-04  2.89293E-01  1.461E-03  1.79028E-02  3.616E-04
   2.20000E+01  2.10000E+02  4.54581E-02  5.763E-04  2.88641E-01  1.459E-03  1.80105E-02  3.627E-04
   2.20000E+01  2.30000E+02  4.47332E-02  5.717E-04  2.88354E-01  1.458E-03  1.79630E-02  3.622E-04
   2.20000E+01  2.50000E+02  4.53230E-02  5.755E-04  2.88281E-01  1.458E-03  1.76745E-02  3.593E-04
   2.20000E+01  2.70000E+02  4.52719E-02  5.751E-04  2.88270E-01  1.458E-03  1.76928E-02  3.595E-04
   2.20000E+01  2.90000E+02  4.58854E-02  5.791E-04  2.88495E-01  1.459E-03  1.79995E-02  3.626E-04
