#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT ANGULAR DETECTOR ENERGY SPECTRUM]
# Angular intervals : theta1 =  9.000000E+01,    theta2 =  1.800000E+02
#                        phi1 =  0.000000E+00,    phi2 =  3.600000E+02
# Energy window (eV), energy bins:
#  0.00000E+00  4.05000E+04   200
# Energy spectra of emerging particles (1/(eV*sr*particle)).
#
#             |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  1.93388E+04   1.04937E-06   2.029E-08   4.47928E-09   2.620E-11   0.00000E+00   0.000E+00 
  1.95412E+04   1.06577E-06   2.045E-08   4.40027E-09   2.599E-11   0.00000E+00   0.000E+00 
  1.97438E+04   1.09514E-06   2.073E-08   4.31096E-09   2.569E-11   0.00000E+00   0.000E+00 
  1.99462E+04   1.11538E-06   2.092E-08   4.20073E-09   2.536E-11   0.00000E+00   0.000E+00 
  2.01488E+04   1.12638E-06   2.102E-08   4.16026E-09   2.528E-11   0.00000E+00   0.000E+00 
  2.03512E+04   1.15743E-06   2.131E-08   4.08078E-09   2.504E-11   0.00000E+00   0.000E+00 
  2.05538E+04   1.16882E-06   2.142E-08   3.99027E-09   2.476E-11   0.00000E+00   0.000E+00 
  2.07562E+04   1.20969E-06   2.179E-08   3.90659E-09   2.451E-11   0.00000E+00   0.000E+00 
  2.09588E+04   1.21382E-06   2.182E-08   3.85020E-09   2.433E-11   0.00000E+00   0.000E+00 
  2.11612E+04   1.22669E-06   2.194E-08   3.76247E-09   2.407E-11   0.00000E+00   0.000E+00 
  2.13638E+04   1.27208E-06   2.234E-08   3.70644E-09   2.390E-11   0.00000E+00   0.000E+00 
  2.15662E+04   1.28239E-06   2.243E-08   3.61461E-09   2.361E-11   0.00000E+00   0.000E+00 
  2.17688E+04   1.29791E-06   2.257E-08   3.56276E-09   2.343E-11   0.00000E+00   0.000E+00 
  2.19712E+04   1.31638E-06   2.273E-08   3.48675E-09   2.318E-11   0.00000E+00   0.000E+00 
  2.21738E+04   1.35028E-06   2.302E-08   3.42063E-09   2.298E-11   0.00000E+00   0.000E+00 
  2.23762E+04   1.35617E-06   2.307E-08   3.34685E-09   2.276E-11   0.00000E+00   0.000E+00 
  2.25788E+04   1.39370E-06   2.338E-08   3.30070E-09   2.259E-11   0.00000E+00   0.000E+00 
  2.27812E+04   1.40038E-06   2.344E-08   3.22385E-09   2.232E-11   0.00000E+00   0.000E+00 
  2.29838E+04   1.43879E-06   2.376E-08   3.18438E-09   2.221E-11   0.00000E+00   0.000E+00 
  2.31862E+04   1.45264E-06   2.387E-08   3.11855E-09   2.194E-11   0.00000E+00   0.000E+00 
  2.33888E+04   1.46807E-06   2.400E-08   3.04133E-09   2.169E-11   0.00000E+00   0.000E+00 
  2.35912E+04   1.51395E-06   2.437E-08   2.96524E-09   2.143E-11   0.00000E+00   0.000E+00 
  2.37938E+04   1.53134E-06   2.451E-08   2.91710E-09   2.124E-11   0.00000E+00   0.000E+00 
  2.39962E+04   1.53694E-06   2.455E-08   2.84480E-09   2.097E-11   0.00000E+00   0.000E+00 
  2.41988E+04   1.58783E-06   2.495E-08   2.79808E-09   2.082E-11   0.00000E+00   0.000E+00 
  2.44012E+04   1.59490E-06   2.501E-08   2.74206E-09   2.062E-11   0.00000E+00   0.000E+00 
  2.46038E+04   1.62496E-06   2.524E-08   2.68743E-09   2.040E-11   0.00000E+00   0.000E+00 
  2.48062E+04   1.64097E-06   2.537E-08   2.64462E-09   2.025E-11   0.00000E+00   0.000E+00 
  2.50088E+04   1.67703E-06   2.564E-08   2.58632E-09   2.002E-11   0.00000E+00   0.000E+00 
  2.52112E+04   1.69648E-06   2.579E-08   2.53985E-09   1.986E-11   0.00000E+00   0.000E+00 
  2.54138E+04   1.73990E-06   2.612E-08   2.47348E-09   1.958E-11   0.00000E+00   0.000E+00 
  2.56162E+04   1.75346E-06   2.622E-08   2.41650E-09   1.937E-11   0.00000E+00   0.000E+00 
  2.58188E+04   1.77046E-06   2.635E-08   2.36264E-09   1.915E-11   0.00000E+00   0.000E+00 
  2.60212E+04   1.80897E-06   2.663E-08   2.29807E-09   1.887E-11   0.00000E+00   0.000E+00 
  2.62238E+04   1.83432E-06   2.682E-08   2.25639E-09   1.872E-11   0.00000E+00   0.000E+00 
  2.64262E+04   1.87843E-06   2.714E-08   2.20226E-09   1.850E-11   0.00000E+00   0.000E+00 
  2.66288E+04   1.87980E-06   2.715E-08   2.14771E-09   1.828E-11   0.00000E+00   0.000E+00 
  2.68312E+04   1.89454E-06   2.725E-08   2.13206E-09   1.820E-11   0.00000E+00   0.000E+00 
  2.70338E+04   1.94061E-06   2.758E-08   2.06779E-09   1.792E-11   0.00000E+00   0.000E+00 
  2.72362E+04   1.96852E-06   2.778E-08   2.01176E-09   1.766E-11   0.00000E+00   0.000E+00 
  2.74388E+04   2.00143E-06   2.801E-08   1.97961E-09   1.753E-11   0.00000E+00   0.000E+00 
  2.76412E+04   2.01214E-06   2.808E-08   1.91745E-09   1.725E-11   0.00000E+00   0.000E+00 
  2.78438E+04   2.04721E-06   2.833E-08   1.87820E-09   1.706E-11   0.00000E+00   0.000E+00 
  2.80462E+04   2.06460E-06   2.845E-08   1.84821E-09   1.697E-11   0.00000E+00   0.000E+00 
  2.82488E+04   2.10016E-06   2.869E-08   1.79735E-09   1.672E-11   0.00000E+00   0.000E+00 
  2.84512E+04   2.12354E-06   2.885E-08   1.74319E-09   1.645E-11   0.00000E+00   0.000E+00 
  2.86538E+04   2.14182E-06   2.897E-08   1.70237E-09   1.626E-11   0.00000E+00   0.000E+00 
  2.88562E+04   2.19880E-06   2.935E-08   1.66307E-09   1.608E-11   0.00000E+00   0.000E+00 
  2.90588E+04   2.19732E-06   2.934E-08   1.60766E-09   1.582E-11   0.00000E+00   0.000E+00 
  2.92612E+04   2.19153E-06   2.931E-08   1.59511E-09   1.577E-11   0.00000E+00   0.000E+00 
  2.94638E+04   2.25381E-06   2.972E-08   1.55451E-09   1.555E-11   0.00000E+00   0.000E+00 
  2.96662E+04   2.27120E-06   2.983E-08   1.50492E-09   1.530E-11   0.00000E+00   0.000E+00 
  2.98688E+04   2.26727E-06   2.981E-08   1.45966E-09   1.510E-11   0.00000E+00   0.000E+00 
  3.00712E+04   2.33545E-06   3.025E-08   1.43279E-09   1.493E-11   0.00000E+00   0.000E+00 
  3.02738E+04   2.33182E-06   3.023E-08   1.38244E-09   1.466E-11   0.00000E+00   0.000E+00 
  3.04762E+04   2.34164E-06   3.029E-08   1.34452E-09   1.447E-11   0.00000E+00   0.000E+00 
  3.06788E+04   2.41670E-06   3.077E-08   1.30988E-09   1.427E-11   0.00000E+00   0.000E+00 
  3.08812E+04   2.43753E-06   3.090E-08   1.27727E-09   1.411E-11   0.00000E+00   0.000E+00 
  3.10838E+04   2.43831E-06   3.091E-08   1.23340E-09   1.387E-11   0.00000E+00   0.000E+00 
  3.12862E+04   2.41690E-06   3.077E-08   1.19302E-09   1.363E-11   0.00000E+00   0.000E+00 
  3.14888E+04   2.46897E-06   3.110E-08   1.15677E-09   1.342E-11   0.00000E+00   0.000E+00 
  3.16912E+04   2.48449E-06   3.120E-08   1.12327E-09   1.323E-11   0.00000E+00   0.000E+00 
  3.18938E+04   2.51042E-06   3.136E-08   1.08940E-09   1.300E-11   0.00000E+00   0.000E+00 
  3.20962E+04   2.52958E-06   3.148E-08   1.05799E-09   1.284E-11   0.00000E+00   0.000E+00 
  3.22988E+04   2.51259E-06   3.137E-08   1.02375E-09   1.262E-11   0.00000E+00   0.000E+00 
  3.25012E+04   2.55336E-06   3.163E-08   9.97322E-10   1.248E-11   0.00000E+00   0.000E+00 
  3.27038E+04   2.57281E-06   3.174E-08   9.67972E-10   1.231E-11   0.00000E+00   0.000E+00 
  3.29062E+04   2.58204E-06   3.180E-08   9.19169E-10   1.196E-11   0.00000E+00   0.000E+00 
  3.31088E+04   2.57330E-06   3.175E-08   9.00625E-10   1.187E-11   0.00000E+00   0.000E+00 
  3.33112E+04   2.59796E-06   3.190E-08   8.62163E-10   1.160E-11   0.00000E+00   0.000E+00 
  3.35138E+04   2.60965E-06   3.197E-08   8.32518E-10   1.142E-11   0.00000E+00   0.000E+00 
  3.37162E+04   2.61407E-06   3.200E-08   7.94817E-10   1.116E-11   0.00000E+00   0.000E+00 
  3.39188E+04   2.61672E-06   3.201E-08   7.66007E-10   1.096E-11   0.00000E+00   0.000E+00 
  3.41212E+04   2.61928E-06   3.203E-08   7.34274E-10   1.071E-11   0.00000E+00   0.000E+00 
  3.43238E+04   2.59039E-06   3.185E-08   7.13225E-10   1.057E-11   0.00000E+00   0.000E+00 
