#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   4.20000E+01  5.00000E+01  9.39245E-08  2.684E-08  5.86836E-05  1.593E-06  0.00000E+00  0.000E+00
   4.20000E+01  7.00000E+01  1.70597E-07  8.123E-08  5.77923E-05  1.563E-06  0.00000E+00  0.000E+00
   4.20000E+01  9.00000E+01  2.08934E-07  9.064E-08  5.78651E-05  1.582E-06  0.00000E+00  0.000E+00
   4.20000E+01  1.10000E+02  9.96749E-08  2.764E-08  5.87507E-05  1.593E-06  0.00000E+00  0.000E+00
   4.20000E+01  1.30000E+02  2.35770E-07  9.871E-08  5.77482E-05  1.575E-06  0.00000E+00  0.000E+00
   4.20000E+01  1.50000E+02  1.38011E-07  4.879E-08  5.84843E-05  1.589E-06  0.00000E+00  0.000E+00
   4.20000E+01  1.70000E+02  1.62930E-07  6.264E-08  5.81852E-05  1.577E-06  0.00000E+00  0.000E+00
   4.20000E+01  1.90000E+02  2.45354E-07  1.055E-07  5.83539E-05  1.585E-06  0.00000E+00  0.000E+00
   4.20000E+01  2.10000E+02  2.03184E-07  9.040E-08  5.75738E-05  1.566E-06  0.00000E+00  0.000E+00
   4.20000E+01  2.30000E+02  2.41520E-07  1.054E-07  5.72958E-05  1.554E-06  0.00000E+00  0.000E+00
   4.20000E+01  2.50000E+02  2.20435E-07  9.811E-08  5.79169E-05  1.573E-06  0.00000E+00  0.000E+00
   4.20000E+01  2.70000E+02  1.97433E-07  9.015E-08  5.88312E-05  1.593E-06  0.00000E+00  0.000E+00
   4.20000E+01  2.90000E+02  2.14684E-07  8.329E-08  5.76524E-05  1.570E-06  0.00000E+00  0.000E+00
   4.20000E+01  3.10000E+02  2.76023E-07  1.127E-07  5.81622E-05  1.586E-06  0.00000E+00  0.000E+00
   4.20000E+01  3.30000E+02  1.39928E-07  6.098E-08  5.73035E-05  1.556E-06  0.00000E+00  0.000E+00
   4.20000E+01  3.50000E+02  1.64847E-07  7.233E-08  5.71655E-05  1.558E-06  0.00000E+00  0.000E+00

   4.60000E+01  1.00000E+01  1.49775E-07  5.794E-08  4.97680E-05  1.377E-06  0.00000E+00  0.000E+00
   4.60000E+01  3.00000E+01  1.92568E-07  8.424E-08  5.01585E-05  1.378E-06  0.00000E+00  0.000E+00
   4.60000E+01  5.00000E+01  1.80086E-07  8.371E-08  4.98821E-05  1.377E-06  0.00000E+00  0.000E+00
   4.60000E+01  7.00000E+01  1.30161E-07  5.672E-08  5.12051E-05  1.407E-06  0.00000E+00  0.000E+00
   4.60000E+01  9.00000E+01  1.47992E-07  5.783E-08  4.97163E-05  1.369E-06  0.00000E+00  0.000E+00
   4.60000E+01  1.10000E+02  1.71171E-07  8.333E-08  4.93062E-05  1.363E-06  0.00000E+00  0.000E+00
   4.60000E+01  1.30000E+02  1.30161E-07  6.604E-08  4.98072E-05  1.383E-06  0.00000E+00  0.000E+00
   4.60000E+01  1.50000E+02  2.03266E-07  9.120E-08  5.01157E-05  1.382E-06  0.00000E+00  0.000E+00
   4.60000E+01  1.70000E+02  2.19313E-07  9.182E-08  5.00497E-05  1.382E-06  0.00000E+00  0.000E+00
   4.60000E+01  1.90000E+02  2.05049E-07  9.127E-08  4.88569E-05  1.352E-06  0.00000E+00  0.000E+00
   4.60000E+01  2.10000E+02  1.62256E-07  6.776E-08  4.99214E-05  1.379E-06  0.00000E+00  0.000E+00
